sample_id,start_line,end_line,link,label,code_snippet,count_statement
5786929,89,1427,https://github.com/apache/tez/blob/d5675c332497c1ac1dedefdf91e87476b5c0d7a9/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/writers/UnorderedPartitionedKVWriter.java,1,"public class UnorderedPartitionedKVWriter extends BaseUnorderedPartitionedKVWriter {

  private static final Logger LOG = LoggerFactory.getLogger(UnorderedPartitionedKVWriter.class);

  private static final int INT_SIZE = 4;
  private static final int NUM_META = 3; // Number of meta fields.
  private static final int INDEX_KEYLEN = 0; // KeyLength index
  private static final int INDEX_VALLEN = 1; // ValLength index
  private static final int INDEX_NEXT = 2; // Next Record Index.
  private static final int META_SIZE = NUM_META * INT_SIZE; // Size of total meta-data

  private final static int APPROX_HEADER_LENGTH = 150;

  // Maybe setup a separate statistics class which can be shared between the
  // buffer and the main path instead of having multiple arrays.

  private final String destNameTrimmed;
  private final long availableMemory;
  @VisibleForTesting
  final WrappedBuffer[] buffers;
  @VisibleForTesting
  final BlockingQueue<WrappedBuffer> availableBuffers;
  private final ByteArrayOutputStream baos;
  private final NonSyncDataOutputStream dos;
  @VisibleForTesting
  WrappedBuffer currentBuffer;
  private final FileSystem rfs;

  @VisibleForTesting
  final List<SpillInfo> spillInfoList = Collections.synchronizedList(new ArrayList<SpillInfo>());

  private final ListeningExecutorService spillExecutor;

  private final int[] numRecordsPerPartition;
  private long localOutputRecordBytesCounter;
  private long localOutputBytesWithOverheadCounter;
  private long localOutputRecordsCounter;
  // notify after x records
  private static final int NOTIFY_THRESHOLD = 1000;
  // uncompressed size for each partition
  private final long[] sizePerPartition;
  private volatile long spilledSize = 0;

  static final ThreadLocal<Deflater> deflater = new ThreadLocal<Deflater>() {

    @Override
    public Deflater initialValue() {
      return TezCommonUtils.newBestCompressionDeflater();
    }

    @Override
    public Deflater get() {
      Deflater deflater = super.get();
      deflater.reset();
      return deflater;
    }
  };

  private final Semaphore availableSlots;

  /**
   * Represents final number of records written (spills are not counted)
   */
  protected final TezCounter outputLargeRecordsCounter;

  @VisibleForTesting
  int numBuffers;
  @VisibleForTesting
  int sizePerBuffer;
  @VisibleForTesting
  int lastBufferSize;
  @VisibleForTesting
  int numInitializedBuffers;
  @VisibleForTesting
  int spillLimit;

  private Throwable spillException;
  private AtomicBoolean isShutdown = new AtomicBoolean(false);
  @VisibleForTesting
  final AtomicInteger numSpills = new AtomicInteger(0);
  private final AtomicInteger pendingSpillCount = new AtomicInteger(0);

  @VisibleForTesting
  Path finalIndexPath;
  @VisibleForTesting
  Path finalOutPath;

  //for single partition cases (e.g UnorderedKVOutput)
  private final IFile.Writer writer;
  @VisibleForTesting
  final boolean skipBuffers;

  private final ReentrantLock spillLock = new ReentrantLock();
  private final Condition spillInProgress = spillLock.newCondition();

  private final boolean pipelinedShuffle;
  private final boolean isFinalMergeEnabled;
  // To store events when final merge is disabled
  private final List<Event> finalEvents;
  // How partition stats should be reported.
  final ReportPartitionStats reportPartitionStats;

  private final long indexFileSizeEstimate;

  private List<WrappedBuffer> filledBuffers = new ArrayList<>();

  public UnorderedPartitionedKVWriter(OutputContext outputContext, Configuration conf,
      int numOutputs, long availableMemoryBytes) throws IOException {
    super(outputContext, conf, numOutputs);

    Preconditions.checkArgument(availableMemoryBytes >= 0, ""availableMemory should be >= 0 bytes"");

    this.destNameTrimmed = TezUtilsInternal.cleanVertexName(outputContext.getDestinationVertexName());
    //Not checking for TEZ_RUNTIME_ENABLE_FINAL_MERGE_IN_OUTPUT as it might not add much value in
    // this case.  Add it later if needed.
    boolean pipelinedShuffleConf = this.conf.getBoolean(TezRuntimeConfiguration
        .TEZ_RUNTIME_PIPELINED_SHUFFLE_ENABLED, TezRuntimeConfiguration
        .TEZ_RUNTIME_PIPELINED_SHUFFLE_ENABLED_DEFAULT);
    this.isFinalMergeEnabled = conf.getBoolean(
        TezRuntimeConfiguration.TEZ_RUNTIME_ENABLE_FINAL_MERGE_IN_OUTPUT,
        TezRuntimeConfiguration.TEZ_RUNTIME_ENABLE_FINAL_MERGE_IN_OUTPUT_DEFAULT);
    this.pipelinedShuffle = pipelinedShuffleConf && !isFinalMergeEnabled;
    this.finalEvents = Lists.newLinkedList();

    if (availableMemoryBytes == 0) {
      Preconditions.checkArgument(((numPartitions == 1) && !pipelinedShuffle), ""availableMemory ""
          + ""can be set to 0 only when numPartitions=1 and "" + TezRuntimeConfiguration
          .TEZ_RUNTIME_PIPELINED_SHUFFLE_ENABLED + "" is disabled. current numPartitions="" +
          numPartitions + "", "" + TezRuntimeConfiguration.TEZ_RUNTIME_PIPELINED_SHUFFLE_ENABLED + ""=""
          + pipelinedShuffle);
    }

    // Ideally, should be significantly larger.
    availableMemory = availableMemoryBytes;

    // Allow unit tests to control the buffer sizes.
    int maxSingleBufferSizeBytes = conf.getInt(
        TezRuntimeConfiguration.TEZ_RUNTIME_UNORDERED_OUTPUT_MAX_PER_BUFFER_SIZE_BYTES,
        Integer.MAX_VALUE);
    computeNumBuffersAndSize(maxSingleBufferSizeBytes);

    availableBuffers = new LinkedBlockingQueue<WrappedBuffer>();
    buffers = new WrappedBuffer[numBuffers];
    // Set up only the first buffer to start with.
    buffers[0] = new WrappedBuffer(numOutputs, sizePerBuffer);
    numInitializedBuffers = 1;
    if (LOG.isDebugEnabled()) {
      LOG.debug(destNameTrimmed + "": "" + ""Initializing Buffer #"" +
          numInitializedBuffers + "" with size="" + sizePerBuffer);
    }
    currentBuffer = buffers[0];
    baos = new ByteArrayOutputStream();
    dos = new NonSyncDataOutputStream(baos);
    keySerializer.open(dos);
    valSerializer.open(dos);
    rfs = ((LocalFileSystem) FileSystem.getLocal(this.conf)).getRaw();

    int maxThreads = Math.max(2, numBuffers/2);
    //TODO: Make use of TezSharedExecutor later
    ExecutorService executor = new ThreadPoolExecutor(1, maxThreads,
        60L, TimeUnit.SECONDS,
        new SynchronousQueue<Runnable>(),
        new ThreadFactoryBuilder()
            .setDaemon(true)
            .setNameFormat(
                ""UnorderedOutSpiller {"" + TezUtilsInternal.cleanVertexName(
                    outputContext.getDestinationVertexName()) + ""} #%d"")
            .build()
    );
    // to restrict submission of more tasks than threads (e.g numBuffers > numThreads)
    // This is maxThreads - 1, to avoid race between callback thread releasing semaphore and the
    // thread calling tryAcquire.
    availableSlots = new Semaphore(maxThreads - 1, true);
    spillExecutor = MoreExecutors.listeningDecorator(executor);
    numRecordsPerPartition = new int[numPartitions];
    reportPartitionStats = ReportPartitionStats.fromString(
        conf.get(TezRuntimeConfiguration.TEZ_RUNTIME_REPORT_PARTITION_STATS,
        TezRuntimeConfiguration.TEZ_RUNTIME_REPORT_PARTITION_STATS_DEFAULT));
    sizePerPartition = (reportPartitionStats.isEnabled()) ?
        new long[numPartitions] : null;

    outputLargeRecordsCounter = outputContext.getCounters().findCounter(
        TaskCounter.OUTPUT_LARGE_RECORDS);



    indexFileSizeEstimate = numPartitions * Constants.MAP_OUTPUT_INDEX_RECORD_LENGTH;

    if (numPartitions == 1 && !pipelinedShuffle) {
      //special case, where in only one partition is available.
      finalOutPath = outputFileHandler.getOutputFileForWrite();
      finalIndexPath = outputFileHandler.getOutputIndexFileForWrite(indexFileSizeEstimate);
      skipBuffers = true;
      writer = new IFile.Writer(conf, rfs, finalOutPath, keyClass, valClass,
          codec, outputRecordsCounter, outputRecordBytesCounter);
    } else {
      skipBuffers = false;
      writer = null;
    }
    LOG.info(destNameTrimmed + "": ""
        + ""numBuffers="" + numBuffers
        + "", sizePerBuffer="" + sizePerBuffer
        + "", skipBuffers="" + skipBuffers
        + "", numPartitions="" + numPartitions
        + "", availableMemory="" + availableMemory
        + "", maxSingleBufferSizeBytes="" + maxSingleBufferSizeBytes
        + "", pipelinedShuffle="" + pipelinedShuffle
        + "", isFinalMergeEnabled="" + isFinalMergeEnabled
        + "", numPartitions="" + numPartitions
        + "", reportPartitionStats="" + reportPartitionStats);
  }

  private static final int ALLOC_OVERHEAD = 64;
  private void computeNumBuffersAndSize(int bufferLimit) {
    numBuffers = (int)(availableMemory / bufferLimit);

    if (numBuffers >= 2) {
      sizePerBuffer = bufferLimit - ALLOC_OVERHEAD;
      lastBufferSize = (int)(availableMemory % bufferLimit);
      // Use leftover memory last buffer only if the leftover memory > 50% of bufferLimit
      if (lastBufferSize > bufferLimit / 2) {
        numBuffers += 1;
      } else {
        if (lastBufferSize > 0) {
          LOG.warn(""Underallocating memory. Unused memory size: {}."",  lastBufferSize);
        }
        lastBufferSize = sizePerBuffer;
      }
    } else {
      // We should have minimum of 2 buffers.
      numBuffers = 2;
      if (availableMemory / numBuffers > Integer.MAX_VALUE) {
        sizePerBuffer = Integer.MAX_VALUE;
      } else {
        sizePerBuffer = (int)(availableMemory / numBuffers);
      }
      // 2 equal sized buffers.
      lastBufferSize = sizePerBuffer;
    }
    // Ensure allocation size is multiple of INT_SIZE, truncate down.
    sizePerBuffer = sizePerBuffer - (sizePerBuffer % INT_SIZE);
    lastBufferSize = lastBufferSize - (lastBufferSize % INT_SIZE);

    int mergePercent = conf.getInt(
        TezRuntimeConfiguration.TEZ_RUNTIME_UNORDERED_PARTITIONED_KVWRITER_BUFFER_MERGE_PERCENT,
        TezRuntimeConfiguration.TEZ_RUNTIME_UNORDERED_PARTITIONED_KVWRITER_BUFFER_MERGE_PERCENT_DEFAULT);
    spillLimit = numBuffers * mergePercent / 100;
    // Keep within limits.
    if (spillLimit < 1) {
      spillLimit = 1;
    }
    if (spillLimit > numBuffers) {
      spillLimit = numBuffers;
    }
  }

  @Override
  public void write(Object key, Object value) throws IOException {
    // Skipping checks for key-value types. IFile takes care of these, but should be removed from
    // there as well.

    // How expensive are checks like these ?
    if (isShutdown.get()) {
      throw new RuntimeException(""Writer already closed"");
    }
    if (spillException != null) {
      // Already reported as a fatalError - report to the user code
      throw new IOException(""Exception during spill"", new IOException(spillException));
    }
    if (skipBuffers) {
      //special case, where we have only one partition and pipelining is disabled.
      // The reason outputRecordsCounter isn't updated here:
      // For skipBuffers case, IFile writer has the reference to
      // outputRecordsCounter and during its close method call,
      // it will update the outputRecordsCounter.
      writer.append(key, value);
      outputContext.notifyProgress();
    } else {
